,TSLA
1832,231.63
1833,231.6
1834,231.64
1835,231.82
1836,231.93
1837,231.93
1838,232.0
1839,231.99
1840,231.94
1841,231.66
1842,231.66
1843,231.79
1844,231.7
1845,231.64
1846,231.68
1847,231.79
1848,231.83
1849,231.79
1850,231.83
1851,231.99
1852,231.98
1853,232.22
1854,232.4
1855,232.33
1856,232.06
1857,232.1315
1858,232.18
1859,232.0844
1860,232.04
1861,232.01
1862,231.85
1863,231.8054
1864,231.79
1865,231.5999
1866,231.31
1867,231.09
1868,231.188
1869,230.955
1870,230.65
1871,230.36
1872,230.75
1873,230.88
1874,231.02
1875,231.1721
1876,231.29
1877,231.2
1878,231.33
1879,231.2754
1880,231.2425
1881,231.4
1882,231.27
1883,231.2068
1884,231.284
1885,231.345
1886,231.215
1887,231.09
1888,230.8
1889,230.8
1890,230.898
1891,230.838
1892,230.82
1893,230.6
1894,230.5657
1895,230.5797
1896,230.519
1897,230.56
1898,230.52
1899,230.4095
1900,230.33
1901,230.4817
1902,230.3945
1903,230.31
1904,230.48
1905,230.32
1906,230.39
1907,230.48
1908,230.25
1909,230.3679
1910,230.3846
1911,230.45
1912,230.313
1913,230.37
1914,230.15
1915,230.2
1916,229.85
1917,229.96
1918,230.135
1919,230.12
1920,229.9203
1921,229.8
1922,229.97
1923,230.0
1924,230.0056
1925,229.99
1926,230.0
1927,230.09
1928,230.15
1929,230.23
1930,230.27
1931,230.0
1932,229.88
1933,229.94
1934,230.02
1935,229.9367
1936,230.185
1937,229.84
1938,229.98
1939,230.025
1940,229.93
1941,229.89
1942,229.84
1943,229.75
1944,229.625
1945,229.5099
1946,229.43
1947,229.9
1948,229.7
1949,229.645
1950,230.01
1951,229.16
1952,229.11
1953,229.47
1954,229.36
1955,229.525
1956,229.25
1957,229.1291
1958,228.9099
1959,228.616
1960,228.416
1961,228.445
1962,228.34
1963,228.021
1964,227.32
1965,227.59
1966,227.85
1967,227.68
1968,227.5007
1969,227.44
1970,227.6
1971,228.08
1972,227.76
1973,227.53
1974,227.3951
1975,227.07
1976,227.0
1977,227.476
1978,227.6736
1979,227.655
1980,227.2184
1981,227.1799
1982,226.96
1983,226.99
1984,227.045
1985,227.31
1986,227.1
1987,227.38
1988,227.2701
1989,227.2601
1990,227.01
1991,226.955
1992,226.521
1993,226.391
1994,226.97
1995,227.01
1996,226.75
1997,226.32
1998,226.12
1999,225.95
2000,226.13
2001,225.9
2002,225.969
2003,225.96
2004,225.86
2005,225.57
2006,225.668
2007,225.57
2008,225.59
2009,225.49
2010,225.16
2011,225.05
2012,225.3121
2013,225.03
2014,224.92
2015,224.7
2016,224.35
2017,224.305
2018,224.2493
2019,223.902
2020,223.76
2021,223.55
2022,223.4
2023,223.4
2024,223.415
2025,223.19
